country,region,period,year,month,week,date,deaths,expected_deaths,excess_deaths,excess_deaths_pct
Switzerland,Switzerland,week,2011,6,23,2011-06-05,1105,1155,-50,-4.32900432900432
Switzerland,Switzerland,week,2011,6,24,2011-06-12,1066,1111,-45,-4.050405040504046
Switzerland,Switzerland,week,2011,6,25,2011-06-19,1098,1109,-11,-0.9918845807033421
Switzerland,Switzerland,week,2011,6,26,2011-06-26,1096,1185,-89,-7.510548523206751
Switzerland,Switzerland,week,2011,7,27,2011-07-03,1141,1159,-18,-1.5530629853321898
Switzerland,Switzerland,week,2011,7,28,2011-07-10,1101,1139,-38,-3.336259877085155
Switzerland,Switzerland,week,2011,7,29,2011-07-17,1110,1196,-86,-7.190635451505017
Switzerland,Switzerland,week,2011,7,30,2011-07-24,1087,1199,-112,-9.341117597998334
Switzerland,Switzerland,week,2011,7,31,2011-07-31,1146,1121,25,2.230151650312223
Switzerland,Switzerland,week,2011,8,32,2011-08-07,1109,1181,-72,-6.096528365791698
Switzerland,Switzerland,week,2011,8,33,2011-08-14,1083,1146,-63,-5.497382198952877
Switzerland,Switzerland,week,2011,8,34,2011-08-21,1150,1137,13,1.143359718557619
Switzerland,Switzerland,week,2011,8,35,2011-08-28,1205,1166,39,3.3447684391080656
Switzerland,Switzerland,week,2011,9,36,2011-09-04,1125,1150,-25,-2.173913043478265
Switzerland,Switzerland,week,2011,9,37,2011-09-11,1111,1177,-66,-5.607476635514018
Switzerland,Switzerland,week,2011,9,38,2011-09-18,1085,1161,-76,-6.546080964685615
Switzerland,Switzerland,week,2011,9,39,2011-09-25,1113,1187,-74,-6.234203875315927
Switzerland,Switzerland,week,2011,10,40,2011-10-02,1132,1216,-84,-6.9078947368420955
Switzerland,Switzerland,week,2011,10,41,2011-10-09,1141,1264,-123,-9.73101265822784
Switzerland,Switzerland,week,2011,10,42,2011-10-16,1196,1257,-61,-4.85282418456643
Switzerland,Switzerland,week,2011,10,43,2011-10-23,1116,1217,-101,-8.299096138044376
Switzerland,Switzerland,week,2011,10,44,2011-10-30,1254,1222,32,2.618657937806873
Switzerland,Switzerland,week,2011,11,45,2011-11-06,1186,1248,-62,-4.96794871794873
Switzerland,Switzerland,week,2011,11,46,2011-11-13,1168,1280,-112,-8.75
Switzerland,Switzerland,week,2011,11,47,2011-11-20,1199,1267,-68,-5.36700868192581
Switzerland,Switzerland,week,2011,11,48,2011-11-27,1223,1300,-77,-5.92307692307692
Switzerland,Switzerland,week,2011,12,49,2011-12-04,1255,1323,-68,-5.139833711262284
Switzerland,Switzerland,week,2011,12,50,2011-12-11,1241,1327,-86,-6.4807837226827445
Switzerland,Switzerland,week,2011,12,51,2011-12-18,1281,1299,-18,-1.3856812933025395
Switzerland,Switzerland,week,2012,1,1,2012-01-01,1236,1402,-166,-11.840228245363775
Switzerland,Switzerland,week,2012,1,2,2012-01-08,1349,1483,-134,-9.035738368172616
Switzerland,Switzerland,week,2012,1,3,2012-01-15,1351,1487,-136,-9.14593140551446
Switzerland,Switzerland,week,2012,1,4,2012-01-22,1344,1391,-47,-3.3788641265276738
Switzerland,Switzerland,week,2012,1,5,2012-01-29,1337,1425,-88,-6.175438596491219
Switzerland,Switzerland,week,2012,2,6,2012-02-05,1336,1470,-134,-9.11564625850339
Switzerland,Switzerland,week,2012,2,7,2012-02-12,1415,1548,-133,-8.591731266149878
Switzerland,Switzerland,week,2012,2,8,2012-02-19,1424,1465,-41,-2.798634812286693
Switzerland,Switzerland,week,2012,2,9,2012-02-26,1397,1518,-121,-7.971014492753625
Switzerland,Switzerland,week,2012,3,10,2012-03-04,1407,1447,-40,-2.7643400138216947
Switzerland,Switzerland,week,2012,3,11,2012-03-11,1327,1370,-43,-3.138686131386862
Switzerland,Switzerland,week,2012,3,12,2012-03-18,1392,1339,53,3.9581777445855124
Switzerland,Switzerland,week,2012,3,13,2012-03-25,1228,1283,-55,-4.286827747466873
Switzerland,Switzerland,week,2012,4,14,2012-04-01,1308,1290,18,1.395348837209312
Switzerland,Switzerland,week,2012,4,15,2012-04-08,1284,1224,60,4.901960784313729
Switzerland,Switzerland,week,2012,4,16,2012-04-15,1274,1218,56,4.597701149425276
Switzerland,Switzerland,week,2012,4,17,2012-04-22,1207,1164,43,3.694158075601379
Switzerland,Switzerland,week,2012,4,18,2012-04-29,1295,1215,80,6.584362139917687
Switzerland,Switzerland,week,2012,5,19,2012-05-06,1154,1184,-30,-2.5337837837837895
Switzerland,Switzerland,week,2012,5,20,2012-05-13,1174,1141,33,2.8921998247151635
Switzerland,Switzerland,week,2012,5,21,2012-05-20,1102,1198,-96,-8.01335559265442
Switzerland,Switzerland,week,2012,5,22,2012-05-27,1096,1171,-75,-6.404782237403921
Switzerland,Switzerland,week,2012,6,23,2012-06-03,1128,1155,-27,-2.337662337662337
Switzerland,Switzerland,week,2012,6,24,2012-06-10,1035,1111,-76,-6.840684068406844
Switzerland,Switzerland,week,2012,6,25,2012-06-17,1168,1109,59,5.320108205590614
Switzerland,Switzerland,week,2012,6,26,2012-06-24,1141,1185,-44,-3.713080168776372
Switzerland,Switzerland,week,2012,7,27,2012-07-01,1135,1159,-24,-2.070750647109577
Switzerland,Switzerland,week,2012,7,28,2012-07-08,1097,1139,-42,-3.687445127304656
Switzerland,Switzerland,week,2012,7,29,2012-07-15,1103,1196,-93,-7.775919732441466
Switzerland,Switzerland,week,2012,7,30,2012-07-22,1073,1199,-126,-10.508757297748133
Switzerland,Switzerland,week,2012,7,31,2012-07-29,1142,1121,21,1.8733273862622752
Switzerland,Switzerland,week,2012,8,32,2012-08-05,1122,1181,-59,-4.995766299745981
